calendar_day,calendar_week,calendar_month,calendar_year,week_of_year,day_of_week,week_of_month
05-01-19,18,5,2019,18,2,1
05-02-19,18,5,2019,18,3,1
05-03-19,18,5,2019,18,4,1
05-04-19,18,5,2019,18,5,1
05-05-19,18,5,2019,18,6,1
05-06-19,19,5,2019,19,0,2
05-07-19,19,5,2019,19,1,2
05-08-19,19,5,2019,19,2,2
05-09-19,19,5,2019,19,3,2
05-10-19,19,5,2019,19,4,2
05-11-19,19,5,2019,19,5,2
05-12-19,19,5,2019,19,6,2
05-13-19,20,5,2019,20,0,3
05-14-19,20,5,2019,20,1,3
05-15-19,20,5,2019,20,2,3
05-16-19,20,5,2019,20,3,3
05-17-19,20,5,2019,20,4,3
05-18-19,20,5,2019,20,5,3
05-19-19,20,5,2019,20,6,3
05-20-19,21,5,2019,21,0,4
05-21-19,21,5,2019,21,1,4
05-22-19,21,5,2019,21,2,4
05-23-19,21,5,2019,21,3,4
05-24-19,21,5,2019,21,4,4
05-25-19,21,5,2019,21,5,4
05-26-19,21,5,2019,21,6,4
05-27-19,22,5,2019,22,0,5
05-28-19,22,5,2019,22,1,5
05-29-19,22,5,2019,22,2,5
05-30-19,22,5,2019,22,3,5
05-31-19,22,5,2019,22,4,5
06-01-19,22,6,2019,22,5,1
06-02-19,22,6,2019,22,6,1
06-03-19,23,6,2019,23,0,2
06-04-19,23,6,2019,23,1,2
06-05-19,23,6,2019,23,2,2
06-06-19,23,6,2019,23,3,2
06-07-19,23,6,2019,23,4,2
06-08-19,23,6,2019,23,5,2
06-09-19,23,6,2019,23,6,2
06-10-19,24,6,2019,24,0,3
06-11-19,24,6,2019,24,1,3
06-12-19,24,6,2019,24,2,3
06-13-19,24,6,2019,24,3,3
06-14-19,24,6,2019,24,4,3
06-15-19,24,6,2019,24,5,3
06-16-19,24,6,2019,24,6,3
06-17-19,25,6,2019,25,0,4
06-18-19,25,6,2019,25,1,4
06-19-19,25,6,2019,25,2,4
06-20-19,25,6,2019,25,3,4
06-21-19,25,6,2019,25,4,4
06-22-19,25,6,2019,25,5,4
06-23-19,25,6,2019,25,6,4
06-24-19,26,6,2019,26,0,5
06-25-19,26,6,2019,26,1,5
06-26-19,26,6,2019,26,2,5
06-27-19,26,6,2019,26,3,5
06-28-19,26,6,2019,26,4,5
06-29-19,26,6,2019,26,5,5
06-30-19,26,6,2019,26,6,5
07-01-19,27,7,2019,27,0,1
07-02-19,27,7,2019,27,1,1
07-03-19,27,7,2019,27,2,1
07-04-19,27,7,2019,27,3,1
07-05-19,27,7,2019,27,4,1
07-06-19,27,7,2019,27,5,1
07-07-19,27,7,2019,27,6,1
07-08-19,28,7,2019,28,0,2
07-09-19,28,7,2019,28,1,2
07-10-19,28,7,2019,28,2,2
07-11-19,28,7,2019,28,3,2
07-12-19,28,7,2019,28,4,2
07-13-19,28,7,2019,28,5,2
07-14-19,28,7,2019,28,6,2
07-15-19,29,7,2019,29,0,3
07-16-19,29,7,2019,29,1,3
07-17-19,29,7,2019,29,2,3
07-18-19,29,7,2019,29,3,3
07-19-19,29,7,2019,29,4,3
07-20-19,29,7,2019,29,5,3
07-21-19,29,7,2019,29,6,3
07-22-19,30,7,2019,30,0,4
07-23-19,30,7,2019,30,1,4
07-24-19,30,7,2019,30,2,4
07-25-19,30,7,2019,30,3,4
07-26-19,30,7,2019,30,4,4
07-27-19,30,7,2019,30,5,4
07-28-19,30,7,2019,30,6,4
07-29-19,31,7,2019,31,0,5
07-30-19,31,7,2019,31,1,5
07-31-19,31,7,2019,31,2,5
08-01-19,31,8,2019,31,3,1
08-02-19,31,8,2019,31,4,1
